timestamp,year,month,region,application,metric,value
2025-04-09 21:41:00,2025,4,Rajasthan,API,response_time,499.36
2025-04-10 17:36:00,2025,4,Rajasthan,Payment,memory_usage,780.34
2025-04-15 18:42:00,2025,4,Rajasthan,Payment,request_count,39.19
2025-04-09 06:05:00,2025,4,Rajasthan,WebApp,memory_usage,863.77
2025-04-07 10:16:00,2025,4,Rajasthan,API,response_time,584.47
2025-04-15 06:00:00,2025,4,Rajasthan,WebApp,response_time,720.53
2025-04-26 09:56:00,2025,4,Rajasthan,MobileApp,cpu_usage,227.33
2025-04-09 09:59:00,2025,4,Rajasthan,API,response_time,179.71
2025-04-14 11:10:00,2025,4,Rajasthan,API,response_time,796.4
2025-04-08 22:23:00,2025,4,Rajasthan,WebApp,cpu_usage,475.07
2025-04-13 07:24:00,2025,4,Rajasthan,WebApp,request_count,200.73
2025-04-29 17:10:00,2025,4,Rajasthan,MobileApp,cpu_usage,326.14
2025-04-21 04:01:00,2025,4,Rajasthan,API,cpu_usage,746.92
2025-04-05 06:22:00,2025,4,Rajasthan,WebApp,request_count,784.58
2025-04-01 16:32:00,2025,4,Rajasthan,MobileApp,memory_usage,43.74
2025-04-11 19:40:00,2025,4,Rajasthan,Payment,cpu_usage,832.73
2025-04-03 07:05:00,2025,4,Rajasthan,MobileApp,memory_usage,693.49
2025-04-21 00:40:00,2025,4,Rajasthan,MobileApp,cpu_usage,517.08
2025-04-16 22:35:00,2025,4,Rajasthan,Payment,response_time,491.28
2025-04-27 04:21:00,2025,4,Rajasthan,MobileApp,request_count,779.62
2025-04-20 14:39:00,2025,4,Rajasthan,Payment,cpu_usage,458.66
2025-04-03 17:51:00,2025,4,Rajasthan,Payment,response_time,605.65
2025-04-25 23:46:00,2025,4,Rajasthan,Payment,memory_usage,709.68
2025-04-24 23:52:00,2025,4,Rajasthan,API,request_count,983.68
2025-04-29 21:08:00,2025,4,Rajasthan,Payment,request_count,286.74
2025-04-03 00:46:00,2025,4,Rajasthan,WebApp,memory_usage,536.37
2025-04-06 10:26:00,2025,4,Rajasthan,WebApp,request_count,610.86
2025-04-05 01:38:00,2025,4,Rajasthan,Payment,response_time,570.73
2025-04-17 21:44:00,2025,4,Rajasthan,MobileApp,request_count,500.34
2025-04-03 16:28:00,2025,4,Rajasthan,Payment,response_time,993.95
2025-04-11 23:54:00,2025,4,Rajasthan,Payment,request_count,362.69
2025-04-02 15:59:00,2025,4,Rajasthan,Payment,response_time,447.65
2025-04-03 09:20:00,2025,4,Rajasthan,Payment,response_time,224.29
2025-04-23 15:49:00,2025,4,Rajasthan,WebApp,memory_usage,915.52
2025-04-19 01:12:00,2025,4,Rajasthan,Payment,memory_usage,882.3
2025-04-26 09:47:00,2025,4,Rajasthan,MobileApp,response_time,723.79
2025-04-04 20:53:00,2025,4,Rajasthan,API,memory_usage,419.18
2025-04-24 20:12:00,2025,4,Rajasthan,WebApp,response_time,590.49
2025-04-01 17:23:00,2025,4,Rajasthan,API,memory_usage,679.77
2025-04-19 16:18:00,2025,4,Rajasthan,API,memory_usage,180.74
2025-04-12 02:43:00,2025,4,Rajasthan,MobileApp,request_count,302.83
2025-04-04 06:25:00,2025,4,Rajasthan,WebApp,request_count,302.01
2025-04-14 03:26:00,2025,4,Rajasthan,WebApp,memory_usage,618.94
2025-04-11 01:36:00,2025,4,Rajasthan,API,request_count,804.19
2025-04-13 11:11:00,2025,4,Rajasthan,Payment,cpu_usage,393.23
2025-04-22 18:38:00,2025,4,Rajasthan,MobileApp,cpu_usage,357.16
2025-04-30 21:16:00,2025,4,Rajasthan,MobileApp,cpu_usage,272.35
2025-04-11 16:17:00,2025,4,Rajasthan,WebApp,response_time,575.94
2025-04-21 12:58:00,2025,4,Rajasthan,Payment,request_count,434.32
2025-04-24 01:30:00,2025,4,Rajasthan,API,request_count,109.26
2025-04-18 08:32:00,2025,4,Rajasthan,MobileApp,request_count,435.67
2025-04-14 15:40:00,2025,4,Rajasthan,WebApp,request_count,340.41
2025-04-08 23:38:00,2025,4,Rajasthan,Payment,memory_usage,930.63
2025-04-17 22:03:00,2025,4,Rajasthan,MobileApp,request_count,60.42
2025-04-24 00:43:00,2025,4,Rajasthan,WebApp,response_time,502.84
2025-04-23 18:28:00,2025,4,Rajasthan,MobileApp,memory_usage,426.26
2025-04-13 19:44:00,2025,4,Rajasthan,API,request_count,924.46
2025-04-15 22:03:00,2025,4,Rajasthan,MobileApp,response_time,384.62
2025-04-02 02:11:00,2025,4,Rajasthan,API,memory_usage,969.38
2025-04-16 22:50:00,2025,4,Rajasthan,WebApp,memory_usage,672.44
2025-04-11 08:10:00,2025,4,Rajasthan,MobileApp,request_count,170.31
2025-04-07 16:27:00,2025,4,Rajasthan,MobileApp,memory_usage,916.12
2025-04-09 17:24:00,2025,4,Rajasthan,Payment,request_count,749.27
2025-04-20 14:14:00,2025,4,Rajasthan,MobileApp,cpu_usage,799.77
2025-04-03 15:54:00,2025,4,Rajasthan,WebApp,memory_usage,809.18
2025-04-26 05:52:00,2025,4,Rajasthan,API,memory_usage,75.95
2025-04-23 14:38:00,2025,4,Rajasthan,MobileApp,request_count,101.75
2025-04-03 12:46:00,2025,4,Rajasthan,Payment,memory_usage,115.67
2025-04-14 21:15:00,2025,4,Rajasthan,MobileApp,memory_usage,552.53
2025-04-18 13:57:00,2025,4,Rajasthan,API,cpu_usage,276.38
2025-04-04 10:23:00,2025,4,Rajasthan,WebApp,cpu_usage,697.26
2025-04-20 20:24:00,2025,4,Rajasthan,WebApp,memory_usage,824.85
2025-04-03 14:09:00,2025,4,Rajasthan,WebApp,memory_usage,985.86
2025-04-12 06:56:00,2025,4,Rajasthan,API,response_time,357.23
2025-04-09 10:59:00,2025,4,Rajasthan,WebApp,request_count,776.92
2025-04-15 08:36:00,2025,4,Rajasthan,Payment,cpu_usage,335.07
2025-04-21 00:47:00,2025,4,Rajasthan,MobileApp,cpu_usage,572.69
2025-04-26 10:17:00,2025,4,Rajasthan,WebApp,memory_usage,981.4
2025-04-02 18:50:00,2025,4,Rajasthan,API,memory_usage,125.77
2025-04-23 23:51:00,2025,4,Rajasthan,API,memory_usage,769.76
2025-04-26 12:32:00,2025,4,Rajasthan,WebApp,response_time,886.09
2025-04-21 12:58:00,2025,4,Rajasthan,Payment,request_count,682.99
2025-04-02 02:18:00,2025,4,Rajasthan,WebApp,memory_usage,201.53
2025-04-15 15:34:00,2025,4,Rajasthan,WebApp,request_count,152.77
2025-04-17 05:27:00,2025,4,Rajasthan,API,memory_usage,37.97
2025-04-05 18:25:00,2025,4,Rajasthan,WebApp,response_time,504.87
2025-04-19 14:56:00,2025,4,Rajasthan,WebApp,memory_usage,799.85
2025-04-13 04:08:00,2025,4,Rajasthan,Payment,response_time,953.65
2025-04-21 10:59:00,2025,4,Rajasthan,MobileApp,request_count,198.28
2025-04-18 13:45:00,2025,4,Rajasthan,WebApp,request_count,870.43
2025-04-08 14:41:00,2025,4,Rajasthan,WebApp,response_time,945.65
2025-04-08 10:23:00,2025,4,Rajasthan,Payment,cpu_usage,470.51
2025-04-29 05:02:00,2025,4,Rajasthan,API,response_time,691.41
2025-04-13 12:08:00,2025,4,Rajasthan,API,response_time,697.04
2025-04-12 19:17:00,2025,4,Rajasthan,MobileApp,request_count,961.15
2025-04-27 08:11:00,2025,4,Rajasthan,Payment,request_count,495.25
2025-04-07 19:39:00,2025,4,Rajasthan,MobileApp,memory_usage,318.93
2025-04-20 09:40:00,2025,4,Rajasthan,Payment,response_time,231.97
2025-04-27 09:51:00,2025,4,Rajasthan,Payment,cpu_usage,856.25
2025-04-23 06:55:00,2025,4,Rajasthan,Payment,cpu_usage,445.13
2025-04-23 10:15:00,2025,4,Rajasthan,WebApp,response_time,509.62
2025-04-22 01:14:00,2025,4,Rajasthan,Payment,response_time,276.35
